Key,Id,Spanish(es),English(en),French(fr),German(de),Portuguese(pt)
"MainManu_IniciarSesion
",187483664384,"INICIAR SESIÓN","LOGIN","SE CONNECTER","ANMELDEN",
"MainMenu_Usuario",1553396510720,"Usuario...","User...","Utilisateur...","Benutzer...",
"MainMenu_Contraseña",1654814781440,"Contraseña...","Password...","Mot de passe...","Passwort...",
"MainMenu_Acceder",2191299817472,"Acceder","Access","Accéder","Zugang",
"BO_Timer",7314394689536,"COMIENZA EN","START IN","COMMENCE DANS","START IN",
"BO_Next_Title
",7821435711488,"OBJETO ENCONTRADO","OBJECT FOUND","OBJET TROUVÉ","GEGENSTAND GEFUNDEN",
"BO_Next_NextBtn",8221857525760,"SIGUIENTE","NEXT","SUIVANT","WEITER",
"BO_SeBuscaCartel",14119451602944,"SE BUSCA","WANTED","RECHERCHÉ","GESUCHT",
"TimeText
",8997627604992,"Tiempo:","Time:","Temps:","Zeit:",
"PerderCanvas_Title",9443763138560,"FIN DEL TIEMPO","TIME'S UP","FIN DU TEMPS","DIE ZEIT IST UM",
"MenuBtn",8540041621504,"MENU","MAIN","MENU","HAUPTSEITE",
"ReintentarBtn
",11213453242368,"REINTENTAR","RESTART","RÉESSAYER","NEUSTART",
"GanarCanvas_Title",11922982678528,"MISIÓN CUMPLIDA","YOU DID IT","MISSION ACCOMPLIE","DU HAST ES GESCHAFFT",
"MC_Title",15620018384896,"MODO DE JUEGO","GAME MODE","MODE DE JEU","SPIELMODUS",
"MC_EntrenamientoBtn",15908502614016,"ENTRENAMIENTO","TRAINING","ENTRAÎNEMENT","AUSBILDUNG",
"MC_CarreraBtn",16958479511552,"CARRERA","RACE","COURSE","RENNEN",
"MD_AprendeAVolar",20522014715904,"Aprende a volar","Learn to fly","Apprends à voler","Fliegen lernen",
"PanelGuia_Title",21282471391232,"GUIA","GUIDE","GUIDE","LEITFADEN",
"PanelGuia_Text1",21778221346816,"Monta el dron en el orden correcto","Assemble the drone in the correct order","Assemble le drone dans le bon ordre","Bauen Sie die Drohne in der richtigen Reihenfolge zusammen",
"PanelGuia_Text2
",22561939632128,"Bien hecho, ahora pasemos a volar el dron","Well done, now let's move on to flying the drone","Bien joué, passons maintenant au pilotage du drone","Gut gemacht, jetzt machen wir weiter mit dem Fliegen der Drohne",
"R_FinalCanvas_Title",23672113180672,"100% COMPLETADO","100% COMPLETED","100 % TERMINÉ","100 % ABGESCHLOSSEN",
"InteractCanvas_2",343259342024704,"para interactuar","to interact","sur pour interagir","um zu interagieren",
"PauseMenu_Title",343727610900480,"PAUSA","PAUSE","PAUSE","PAUSE",
"PauseMenu_ExitBtn",343864202604544,"Salir","Exit","Quitter","Beenden",
"PauseMenu_OpcionesBtn",343993026457600,"Opciones","Options","Options","Optionen",
"PauseMenu_ReturnBtn",344092381130752,"Volver","Return","Retour","Zurück",
"PauseMenu_Resolucion	",344586734383104,"Resolucion","Resolution","Résolution","Beschluss",
"PauseMenu_TasaDeRefresco",344723162509312,"Tasa de refresco(hz)","Refreshment rate(hz)","Taux de rafraîchissement(hz)

","Bildwiederholfrequenz (Hz)",
"PauseMenu_PantallaCompleta",344929463545856,"Pantalla Completa","Full Screen","Plein écran","Vollbild",
"PauseMenu_Pantalla",345757087805440,"Pantalla","Screen","Écran","Bildschirm",
"PauseMenu_Sonido",345874700283904,"Sonido","Sound","Son","Ton",
"PauseMenu_VolumenGeneral",346442231558144,"Volumen General","General Volume","Volume Général","Gesamtumfang",
"PauseMenu_VolumenMusica",346653892915200,"Volumen Musica","Music Volume","Volume Musique","Musiklautstärke",
"PauseMenu_VolumenEfectos",346770997882880,"Volumen Efectos","Efects Volume","Volume des Effets","Effekte-Band",
"E_AvisoAltura",350670597500928,"¡ Mantente a 10 metros !","Stay 10 meters away! ","Reste à 10 mètres !","Halten Sie 10 Meter Abstand! ",
"E_Ejercicio1",355203180507136,"<color=""green""><b>Colocate</b></color> a la altura de los ojos del piloto a <color=""green""><b>5/10m </b></color>de distancia del mismo","<color=""green""><b>Position yourself </b></color>at eye level with the pilot, <color=""green""><b>5/10m</b></color> away from him.","<color=""green""><b>Place-toi à la hauteur </b></color>des yeux du pilote, à une distance de <color=""green""><b>5 à 10m</b></color>","<color=""green""><b>Stellen Sie sich </b></color>auf Augenhöhe mit dem Piloten, <color=""green""><b>5/10 m</b></color> von ihm entfernt.",
